match_id,label,role,minute,gold,cs,xp,kills,deaths,assists,damage_dealt,cc_score,apm,distance_moved,wards_placed,wards_killed
NA1_5214028697,0,UNKNOWN,9,3484,42,3529,4,2,1,5034,200337,2,2432,0,0
NA1_5214028697,0,UNKNOWN,10,4499,49,4408,6,2,1,6454,266846,4,1334,0,0
NA1_5214028697,0,UNKNOWN,11,4896,61,5137,6,2,1,7367,294546,4,470,0,0
NA1_5214028697,0,UNKNOWN,12,5454,68,5560,7,2,1,7876,295781,1,2772,0,0
NA1_5214028697,0,UNKNOWN,13,5819,78,6139,7,2,1,8204,299393,1,2680,0,0
NA1_5214028697,0,UNKNOWN,14,6235,91,6979,7,2,1,8848,308033,1,1008,0,0
NA1_5214028697,0,UNKNOWN,15,6575,101,7431,7,2,1,9772,337766,3,2395,0,0
NA1_5214073303,0,UNKNOWN,1,500,0,0,0,0,0,0,0,3,0,0,0
NA1_5214073303,0,UNKNOWN,2,646,6,276,0,0,0,78,1669,1,467,0,0
NA1_5214073303,0,UNKNOWN,3,924,15,829,0,0,0,78,1669,2,490,0,0
NA1_5214073303,0,UNKNOWN,4,1306,27,1477,0,0,0,78,1669,1,209,0,0
NA1_5214073303,0,UNKNOWN,5,1701,39,2125,0,0,0,87,1669,1,470,0,0
NA1_5214073303,0,UNKNOWN,6,2037,51,2678,0,0,0,98,1669,3,7628,0,0
NA1_5214073303,0,UNKNOWN,7,2403,56,3184,0,0,2,750,5127,1,9686,0,0
NA1_5214073303,0,UNKNOWN,8,2760,66,3770,0,0,2,750,5127,0,5136,0,0
NA1_5214073303,0,UNKNOWN,9,3077,77,4323,0,0,2,750,5127,2,7843,0,0
NA1_5214073303,0,UNKNOWN,10,3241,79,4614,0,0,2,1046,15176,0,7367,0,0
NA1_5214073303,0,UNKNOWN,11,3544,86,5162,0,0,2,1046,15176,2,600,0,0
NA1_5214073303,0,UNKNOWN,12,3740,90,5584,0,1,2,2042,16679,1,1182,0,0
NA1_5214073303,0,UNKNOWN,13,4045,97,6097,0,1,2,2138,16679,0,1809,0,0
NA1_5214073303,0,UNKNOWN,14,4394,106,6704,0,2,2,3077,18282,1,3130,0,0
NA1_5214073303,0,UNKNOWN,15,4658,111,7003,0,2,2,3077,23860,2,8808,0,0
